imageId,distance(km),imageFraction
C0940428,95929616,0.06937
C0940435,95923989,0.06937
C0940442,95918361,0.00928
C0941719,95309828,0.06982
C0941724,95382269,0.00051
C0941739,95293750,0.06983
C0941745,95288927,0.06983
C0941751,95284104,0.06984
C0941758,95278476,0.06984
C0941805,95272849,0.06984
C0942205,95079920,0.06999
C0942211,95075096,0.06999
C0942217,95070273,0.06999
C0942225,95063842,0.07
C0942232,95058215,0.07
C0943518,94442451,0.07046
C0943531,94432000,0.07047
C0943537,94427177,0.07047
C0943544,94421550,0.07047
C0943551,94415923,0.07048
C0943558,94410296,0.00943
C0943755,94316244,0.00944
C0943801,94311421,0.00944
C0943808,94305794,0.07056
C0943815,94300167,0.07056
C0943824,94292932,0.00944
C0943841,94279266,0.00944
C0943847,94274443,0.07058
C0943853,94269620,0.07059
C0943859,94264797,0.07059
C0943913,94253543,0.0706
C0943919,94248719,0.0706
C0943925,94243896,0.00944
C0943931,94239073,0.07061
C0943937,94234250,0.07061
C0943944,94228623,0.07062
C0943951,94222996,0.07062
C0943957,94218173,0.07063
C0944003,94213349,0.07063
C0944009,94208526,0.07063
C0944022,94198076,0.07064
C0944036,94186822,0.07065
C0944042,94181999,0.07065
C0944048,94177176,0.07066
C0944054,94172353,0.07066
C0944100,94167529,0.07066
C0944107,94161902,0.07067
C0944114,94156275,0.07067
C0944120,94151452,0.07068
C0944126,94146629,0.00945
C0944132,94141806,0.07068
C0944138,94136983,0.07069
C0944145,94131356,0.00945
C0944152,94125729,0.07069
C0944158,94120905,0.0707
C0944204,94116082,0.0707
C0944210,94111259,0.07071
C0944216,94106436,0.07071
C0944223,94100809,0.07071
C0944230,94095182,0.07072
C0944237,94089555,0.07072
C0944243,94084732,0.07073
C0944249,94079909,0.07073
C0944255,94075085,0.07073
C0944301,94070262,0.07074
C0944308,94064635,0.07074
C0944315,94059008,0.07075
C0944321,94054185,0.07075
C0944327,94049362,0.07075
C0944333,94044539,0.07076
C0944339,94039716,0.07076
C0944346,94034089,0.07076
C0944353,94028462,0.07077
C0944359,94023638,0.07077
C0944405,94018815,0.07078
C0944411,94013992,0.07078
C0944417,94009169,0.00947
C0944424,94003542,0.07079
C0944431,93997915,0.07079
C0944437,93993092,0.07079
C0944443,93988269,0.0708
C0944449,93983445,0.0708
C0944456,93977818,0.07081
C0944503,93972191,0.07081
C0944547,93936822,0.07084
C0944552,94153368,0.00051
C0944612,90083897,0.00051
C0944618,90079454,0.00051
C0944624,90075012,0.00051
C0944855,93785697,0.07095
C0944901,93780874,0.07095
C0944908,93775247,0.07096
C0944915,93769620,0.07096
C0944922,93763993,0.00949
C0945323,93570264,0.07111
C0945329,93565441,0.07112
