fileid,volume,phase,craft,target,instrument,filter,note
C1469319,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469321,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469544,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469546,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469548,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469550,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469813,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469815,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469817,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1469819,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470042,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470044,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470046,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470048,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470311,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470313,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470315,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470317,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470540,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470542,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470544,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470546,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470809,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470811,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470813,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1470815,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471028,VGISS_5101,Jupiter,Voyager1,Ganymede,Narrow,CLEAR,OPTICAL NAVIGATION
C1471038,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471040,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471042,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471044,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471307,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471309,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471311,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471313,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471534,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471536,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
