"VGISS_7201","DATA/C24480XX/C2448029_RAW.LBL    ","C2448029_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0158U2-079",24480.29,"1985-11-06T20:05:43","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOSPHERIC DYNAMICS IMAGES                         ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448034_RAW.LBL    ","C2448034_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0163U2-079",24480.34,"1985-11-06T20:09:43","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",6,  11.5200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448040_RAW.LBL    ","C2448040_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0169U2-079",24480.40,"1985-11-06T20:14:31","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448046_RAW.LBL    ","C2448046_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0175U2-079",24480.46,"1985-11-06T20:19:19","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448052_RAW.LBL    ","C2448052_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0181U2-079",24480.52,"1985-11-06T20:24:07","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","VIOLET",1,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24480XX/C2448058_RAW.LBL    ","C2448058_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0187U2-079",24480.58,"1985-11-06T20:28:55","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","BLUE  ",2,   5.7600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24481XX/C2448104_RAW.LBL    ","C2448104_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0193U2-079",24481.04,"1985-11-06T20:33:43","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24481XX/C2448110_RAW.LBL    ","C2448110_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0199U2-079",24481.10,"1985-11-06T20:38:31","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",4,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24481XX/C2448116_RAW.LBL    ","C2448116_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0205U2-079",24481.16,"1985-11-06T20:43:19","UNKNOWN            ","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","GREEN ",5,   7.6800,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH LOW LAT EXPOSURES ","11111111","NONE  "
"VGISS_7201","DATA/C24481XX/C2448121_RAW.LBL    ","C2448121_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0210U2-079",24481.21,"1985-11-06T20:47:19","UNKNOWN            ","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_U ",6,  15.3600,"1 OF 37-HR MOVIE A1 METHANE ATMOSPHERIC DYNAMICS IMAGES                         ","11111111","NONE  "
